,Ask_rate,Accuracy,cnt_over_thres
583,57.41728922091782,91.56,538
584,41.088580576307365,90.64,385
585,65.31483457844183,91.63,612
586,36.07257203842049,89.06,338
587,47.705442902881536,90.76,447
588,48.45250800426894,92.94,454
589,41.51547491995731,91.83,389
590,23.585912486659552,86.98,221
591,35.2187833511206,89.53,330
592,56.35005336179296,92.17,528
593,42.68943436499466,90.95,400
594,25.82710779082177,80.66,242
595,53.5752401280683,92.09,502
596,57.41728922091782,93.37,538
597,54.215581643543224,93.73,508
598,56.45677694770544,92.01,529
599,41.19530416221985,91.99,386
600,32.017075773746,58.39,300
601,28.38847385272145,9.73,266
602,41.6221985058698,91.77,390
603,56.563500533617926,93.22,530
604,53.36179295624333,91.17,500
605,58.69797225186766,92.46,550
606,57.73745997865528,92.58,541
607,51.013874066168626,94.0,478
608,50.48025613660619,93.76,473
609,57.41728922091782,93.33,538
610,57.31056563500534,92.82,537
611,53.68196371398079,91.72,503
612,25.18676627534685,79.04,236
613,57.097118463180365,91.49,535
614,29.882604055496266,74.44,280
615,53.36179295624333,93.58,500
616,53.788687299893276,93.46,504
617,58.27107790821771,90.44,546
618,60.832443970117396,92.28,570
619,62.646744930629666,92.39,587
620,53.46851654215582,92.43,501
621,28.495197438633937,89.78,267
622,54.85592315901814,92.49,514
623,31.056563500533617,88.57,291
624,28.70864461045891,79.03,269
625,22.625400213447172,74.13,212
626,54.32230522945571,93.55,509
627,29.455709711846318,90.6,276
628,38.95410885805763,89.65,365
629,42.902881536819635,91.12,402
630,62.00640341515475,92.37,581
631,29.562433297758805,72.21,277
632,36.07257203842049,91.58,338
633,28.601921024546424,75.86,268
634,46.85165421558165,93.03,439
635,30.416221985058698,84.59,285
636,17.716115261472787,80.38,166
637,38.740661686232656,89.91,363
638,53.89541088580577,91.68,505
639,30.629669156883672,74.95,287
640,53.04162219850587,92.68,497
641,56.88367129135539,92.45,533
642,41.30202774813234,91.97,387
643,54.85592315901814,92.76,514
644,45.5709711846318,91.61,427
645,54.215581643543224,92.43,508
646,57.41728922091782,89.74,538
647,52.72145144076841,92.78,494
648,53.89541088580577,91.95,505
649,24.33297758804696,81.17,228
650,30.843116328708646,89.9,289
651,55.176093916755605,92.05,517
652,29.77588046958378,86.76,279
653,55.069370330843114,92.34,516
654,54.32230522945571,93.45,509
655,61.259338313767344,91.42,574
656,48.87940234791889,91.14,458
657,37.03308431163287,89.88,347
658,56.24332977588047,90.23,527
659,53.68196371398079,91.58,503
660,52.50800426894344,92.09,492
661,51.65421558164354,92.78,484
662,30.629669156883672,89.98,287
663,55.176093916755605,92.4,517
664,45.5709711846318,91.99,427
665,29.34898612593383,69.77,275
666,26.25400213447172,76.95,246
667,19.957310565635005,56.75,187
668,39.27427961579509,90.54,368
669,60.40554962646745,91.13,566
670,47.91889007470651,92.3,449
671,46.744930629669156,92.94,438
672,56.88367129135539,91.79,533
673,27.961579509071505,78.07,262
674,36.17929562433298,73.29,339
675,42.26254002134472,90.02,396
676,42.902881536819635,90.24,402
677,31.376734258271078,88.59,294
678,27.107790821771612,81.54,254
679,55.176093916755605,90.55,517
680,47.27854855923159,91.75,443
681,60.832443970117396,90.12,570
682,58.16435432230523,94.31,545
683,31.590181430096052,89.76,296
684,29.669156883671292,90.29,278
685,34.79188900747065,90.81,326
686,45.03735325506937,89.97,422
687,28.068303094983992,78.63,263
688,61.792956243329776,93.45,579
689,54.53575240128068,91.5,511
690,27.961579509071505,90.98,262
691,58.057630736392746,93.01,544
692,56.136606189967985,93.35,526
693,32.017075773746,89.52,300
694,57.52401280683031,91.83,539
695,59.65848452508004,92.31,559
696,25.29348986125934,79.98,237
697,56.35005336179296,91.95,528
698,46.211312700106724,92.69,433
699,59.55176093916756,94.5,558
