2022-10-16 21:16:43.940029
Start Threshold: 0.02
Train Epoch: 1 [13200/60000 (22%)]	AE_Loss: 0.053498	CNN_Loss: 0.000000	Ask_rate: 0.031134	threshold: 16.799100	unq CNN/CNN: 0.166991
Train Epoch: 1 [13300/60000 (22%)]	AE_Loss: 0.050498	CNN_Loss: 0.000000	Ask_rate: 0.030900	threshold: 16.949100	unq CNN/CNN: 0.165528
Train Epoch: 1 [13400/60000 (22%)]	AE_Loss: 0.056425	CNN_Loss: 0.000000	Ask_rate: 0.030669	threshold: 17.099100	unq CNN/CNN: 0.164090
Train Epoch: 1 [13500/60000 (22%)]	AE_Loss: 0.026733	CNN_Loss: 0.000000	Ask_rate: 0.030442	threshold: 17.249100	unq CNN/CNN: 0.162677
Train Epoch: 1 [13600/60000 (23%)]	AE_Loss: 0.031153	CNN_Loss: 0.000000	Ask_rate: 0.030218	threshold: 17.399100	unq CNN/CNN: 0.161288
Train Epoch: 1 [13700/60000 (23%)]	AE_Loss: 0.020052	CNN_Loss: 0.000000	Ask_rate: 0.029998	threshold: 17.549100	unq CNN/CNN: 0.159922
Train Epoch: 1 [13800/60000 (23%)]	AE_Loss: 0.057441	CNN_Loss: 0.000000	Ask_rate: 0.029780	threshold: 17.699100	unq CNN/CNN: 0.158580
Train Epoch: 1 [13900/60000 (23%)]	AE_Loss: 0.028460	CNN_Loss: 0.000000	Ask_rate: 0.029566	threshold: 17.849100	unq CNN/CNN: 0.157259
Train Epoch: 1 [14000/60000 (23%)]	AE_Loss: 0.007476	CNN_Loss: 0.000000	Ask_rate: 0.029355	threshold: 17.999100	unq CNN/CNN: 0.155961
Train Epoch: 1 [14100/60000 (24%)]	AE_Loss: 0.067122	CNN_Loss: 0.000000	Ask_rate: 0.029147	threshold: 18.149100	unq CNN/CNN: 0.154684
Train Epoch: 1 [14200/60000 (24%)]	AE_Loss: 0.033799	CNN_Loss: 0.000000	Ask_rate: 0.028942	threshold: 18.299100	unq CNN/CNN: 0.153428
Train Epoch: 1 [14300/60000 (24%)]	AE_Loss: 0.057280	CNN_Loss: 0.000000	Ask_rate: 0.028739	threshold: 18.449100	unq CNN/CNN: 0.152191
