,Ask_rate,Accuracy,
92,41.51547492,92.56,2.229530077
93,49.94663821,92.43,1.850575
94,19.74386339,83.4,4.224097297
95,32.97758805,89.26,2.706686731
96,61.68623266,92.2,1.4946609
97,26.46744931,87.42,3.302925
98,31.27001067,89.32,2.856410922
99,34.04482391,90.52,2.658847649
100,52.61472785,93.28,1.772887627
101,40.02134472,90.07,2.250549067
102,57.20384205,93.29,1.630834515
103,46.9583778,92.74,1.974940455
104,59.55176094,92.46,1.552598925
105,55.60298826,93.03,1.673111516
106,43.86339381,92.13,2.100384672
107,53.25506937,93.12,1.748565932
108,57.20384205,91.85,1.605661381
109,28.28175027,73.47,2.597788302
110,54.00213447,92.75,1.717524704
111,50.80042689,92.79,1.826559454
112,28.92209178,87.46,3.023985978
113,37.03308431,81.83,2.209645821
114,39.91462113,91.43,2.290639305
115,58.59124867,89.44,1.526507832
116,30.3094984,89.46,2.95155
117,24.75987193,89.54,3.616335345
118,29.02881537,88.72,3.056273529
119,20.38420491,87.92,4.313143455
120,40.34151547,91.76,2.274579894
121,53.36179296,88.36,1.6558664
122,26.25400213,80.51,3.066580081
123,29.98932764,58.56,1.952694662
124,28.06830309,89.84,3.200763498
125,40.1280683,88.17,2.19721516
126,39.48772679,89.98,2.278682703
127,70.01067236,91.35,1.304801067
128,48.452508,92.89,1.917135022
129,40.55496265,90.88,2.240909474
130,53.68196371,92.57,1.724415308
131,53.25506937,93.4,1.753823647
132,58.80469584,92.89,1.579635753
133,28.92209178,89.4,3.091062731
134,51.65421558,92.07,1.782429545
135,55.38954109,92.15,1.663671484
136,43.86339381,92.69,2.113151582
137,29.34898613,90.47,3.082559636
138,41.08858058,93.58,2.277518442
139,54.42902882,92.26,1.695051373
140,51.97438634,92.01,1.770295072
141,59.23159018,92.12,1.555251171
142,54.00213447,92.37,1.710487945
143,32.12379936,85.04,2.647258472
144,26.04055496,90.22,3.464595902
145,51.22732124,91.55,1.787132292
146,56.99039488,93.17,1.634836891
147,52.08110993,91.86,1.763787295
148,53.14834578,91.01,1.712376908
149,47.06510139,91.69,1.948152608
150,54.21558164,91.83,1.693793504
151,48.66595518,90.81,1.865986184
152,25.7203842,33.82,1.314910373
153,29.98932764,90.67,3.023408897
154,55.92315902,94.3,1.686242366
155,31.8036286,86.46,2.718557718
156,41.72892209,90.98,2.180262404
157,44.18356457,93.23,2.110060628
158,38.52721451,91.07,2.363783657
159,55.17609392,93.19,1.688956093
160,48.452508,91.81,1.894845154
161,58.27107791,91.81,1.575567216
162,31.27001067,85.96,2.748959727
163,59.76520811,91.91,1.53785125
164,28.28175027,84.91,3.002289434
165,43.11632871,92.87,2.153940347
166,58.59124867,92.14,1.5725898
167,56.45677695,92.47,1.63789017
168,54.5357524,92.95,1.704386497
169,45.14407684,88.88,1.968807565
170,29.77588047,89.68,3.011833692
171,28.49519744,82.05,2.879432584
172,57.09711846,92.35,1.617419626
173,54.74919957,91.37,1.668882846
174,58.16435432,92.35,1.587742202
175,42.36926361,89.55,2.113560453
176,55.38954109,93.06,1.680100578
177,55.38954109,92.08,1.662407707
178,21.87833511,87.18,3.984763902
179,55.49626467,92.75,1.671283654
180,28.38847385,88.37,3.112883083
181,54.42902882,91.03,1.672453137
182,57.95090715,93.08,1.606187109
183,56.77694771,91.93,1.619143045
184,29.34898613,91.82,3.128557818
185,37.886873,89.63,2.365727042
186,28.70864461,88.88,3.095931599
187,48.34578442,91.48,1.892202208
188,41.94236926,91.74,2.187287023
189,23.05229456,67.01,2.906868981
190,41.40875133,92.96,2.244936082
191,56.56350053,92.87,1.641871509
192,49.41302028,91.29,1.847488769
193,24.86659552,84.79,3.409795279
194,59.55176094,93.7,1.573421147
195,63.07363927,92.35,1.464161591
196,30.41622199,68.23,2.243210877
197,50.90715048,92.06,1.808390356
198,42.15581644,91.4,2.168146835
199,52.93489861,92.98,1.756497177
200,46.31803629,91.49,1.975256452
201,29.24226254,85.45,2.922140511
202,61.47278549,92.06,1.497573264
203,24.65314835,84.48,3.426742857
204,30.84311633,81.62,2.646295502
205,56.13660619,91.8,1.635296578
206,55.92315902,92.86,1.660492748
207,28.28175027,65.6,2.319516981
208,57.52401281,91.47,1.590118553
209,32.44397012,87.31,2.691100987
210,47.38527215,91.3,1.926759009
211,44.82390608,93,2.074785714
212,41.83564568,89.57,2.140997194
213,29.5624333,91.57,3.097512274
214,55.92315902,92.37,1.651730725
215,42.58271078,92.63,2.17529599
216,43.32977588,91.9,2.12094335
217,41.19530416,80.57,1.95580544
218,53.25506937,91.1,1.710635271
219,29.88260406,86.86,2.906707857
220,58.27107791,92.16,1.581573626
221,47.27854856,91.38,1.932800451
222,37.1398079,89.86,2.419506322
223,34.89861259,87.99,2.52130367
224,55.38954109,91.76,1.656630443
225,36.28601921,82.39,2.270571471
226,51.97438634,90.3,1.737394251
227,30.09605123,78.41,2.605325177
228,64.88794023,92.82,1.430466118
229,55.60298826,92.33,1.660522265
230,37.24653148,87.55,2.350554441
231,31.37673426,81.96,2.612126531
232,28.60192102,82.32,2.878128358
233,26.25400213,81.92,3.120286179
234,55.06937033,93.15,1.691502907
235,30.41622199,84.16,2.766944561
236,34.68516542,88.8,2.560172308
237,57.31056564,93.3,1.627972067
238,30.94983991,65.26,2.108573103
239,53.25506937,91.35,1.715329659
240,52.08110993,90.24,1.732681967
241,29.77588047,75.89,2.548707168
242,49.83991462,90.97,1.825243897
243,26.57417289,87.26,3.283639357
244,54.74919957,92.09,1.682033723
245,35.00533618,87.8,2.508189024
246,26.46744931,83.07,3.138572177
247,56.35005336,92.05,1.633538826
248,26.68089648,80.29,3.0092692
249,51.86766275,93.78,1.808062963
250,28.92209178,66.41,2.296168635
251,55.2828175,92.87,1.679907143
252,45.03735326,91.56,2.032979147
253,44.82390608,90.83,2.026374048
254,37.56670224,91.04,2.423422727
255,54.64247599,92.83,1.698861523
256,51.97438634,92.16,1.773181109
257,54.85592316,92.5,1.686235409
258,52.2945571,93.43,1.786610408
259,27.21451441,87.86,3.228424314
260,47.17182497,92.15,1.953496606
261,54.00213447,94.1,1.742523715
262,58.69797225,91.06,1.551331273
263,54.74919957,92.56,1.690618324
